,position,img,count,mean,frame,mask,nuclei_count,Hours,total_int/cell#,count/cell_count,dose,beads,replicate
34,XY003,expt1003_TRITC_XY003_T09.tif,413015,5036.473963415372,9,expt1003_Cy5_XY003_T09_cp_masks.tif,205,4.0,10147020.946341464,2014.7073170731708,0,True,2
35,XY003,expt1003_TRITC_XY003_T10.tif,452786,5309.124827181053,10,expt1003_Cy5_XY003_T10_cp_masks.tif,202,4.5,11900482.148514852,2241.5148514851485,0,True,2
36,XY003,expt1003_TRITC_XY003_T11.tif,478752,5475.812372585388,11,expt1003_Cy5_XY003_T11_cp_masks.tif,203,5.0,12914069.581280788,2358.384236453202,0,True,2
37,XY003,expt1003_TRITC_XY003_T12.tif,516765,5837.701463914932,12,expt1003_Cy5_XY003_T12_cp_masks.tif,200,5.5,15083598.985,2583.825,0,True,2
38,XY003,expt1003_TRITC_XY003_T13.tif,546432,6157.820912757672,13,expt1003_Cy5_XY003_T13_cp_masks.tif,195,6.0,17255540.497435898,2802.2153846153847,0,True,2
39,XY004,expt1003_TRITC_XY004_T01.tif,16,1518.3125,1,expt1003_Cy5_XY004_T01_cp_masks.tif,163,0.0,149.03680981595093,0.0981595092024539,0,True,2
40,XY004,expt1003_TRITC_XY004_T02.tif,59650,2836.449103101425,2,expt1003_Cy5_XY004_T02_cp_masks.tif,160,0.5,1057463.68125,372.8125,0,True,2
41,XY004,expt1003_TRITC_XY004_T03.tif,151493,3729.8788260843735,3,expt1003_Cy5_XY004_T03_cp_masks.tif,157,1.0,3599047.98089172,964.9235668789808,0,True,2
42,XY004,expt1003_TRITC_XY004_T04.tif,204026,4242.809431150932,4,expt1003_Cy5_XY004_T04_cp_masks.tif,152,1.5,5695022.611842106,1342.2763157894738,0,True,2
43,XY004,expt1003_TRITC_XY004_T05.tif,244692,4581.007973288869,5,expt1003_Cy5_XY004_T05_cp_masks.tif,157,2.0,7139719.76433121,1558.5477707006369,0,True,2
